Xr,Yr,Zr,KFx,KFy,KFz,DRx,DRy,DRz
-66.370918,7.326688,0.723781,-67.13165903,8.813326279,-0.349186286,-62.93368211,7.326534613,0.234713165
-66.946617,7.326688,0.984936,-67.76629778,8.982072851,-0.193318591,-63.67741916,7.326583568,0.326667374
-67.527466,7.326688,1.33163,-68.35249199,9.190154433,0.025847054,-64.483224,7.326618579,0.495115576
-68.088867,7.326688,1.710312,-68.9121842,9.414967435,0.28444078,-65.36414016,7.326645828,0.721871234
-68.547485,7.326688,2.144844,-69.4357204,9.661260131,0.588902118,-65.9440046,7.32665931,0.941000069
-68.982964,7.326688,2.710826,-69.91119588,9.93808805,0.95564214,-66.67732613,7.326670544,1.29947942
-69.276367,7.326688,3.268336,-70.33979298,10.23928168,1.374763823,-67.25050677,7.326677269,1.644787733
-69.401894,7.326688,3.508089,-70.76590683,10.5098118,1.774742212,-67.68332442,7.326681104,1.891137192
-69.905205,7.326688,4.44883,-71.15497235,10.80825072,2.249969447,-68.21197733,7.3266834,2.455533483
-70.220032,7.326688,5.041568,-71.54706594,11.08460353,2.728046702,-68.68726292,7.326685291,2.928255659
-70.418831,7.326688,5.445596,-71.942877,11.33143577,3.193288024,-69.03489633,7.326686328,3.337136369
-70.665215,7.326688,6.219374,-72.30681155,11.58888766,3.704402461,-69.36292057,7.326686905,3.90250298
-70.812325,7.326688,7.663623,-72.50308656,11.98771704,4.425903237,-69.62997445,7.326687259,4.668455637
-70.712639,7.326688,8.942077,-72.57064312,12.47813851,5.295674633,-69.8628276,7.326687533,5.417272967
-70.718445,7.326688,9.16205,-72.77823653,12.79915069,5.994513675,-70.08609506,7.326687684,5.782682091
-71.064888,7.326688,9.914005,-73.06999657,13.02361146,6.624573084,-70.39715943,7.326687794,6.687593558
-71.560806,7.326688,10.6576,-73.45089579,13.15653798,7.188378149,-70.65795939,7.326687863,7.488052431
-71.94339,7.326688,11.215268,-73.88874941,13.22325504,7.6999957,-70.86035011,7.326687912,8.251507949
-72.257477,7.326688,11.813543,-74.32943308,13.27431918,8.211379682,-71.04576826,7.326687939,8.892409093
-72.558083,7.326688,12.470382,-74.75572528,13.32791323,8.744619104,-71.30508472,7.326687959,9.621272349
-72.831535,7.326688,13.040319,-75.17139018,13.37763452,9.287561891,-71.65804721,7.326687976,10.47358879
-73.09404,7.326688,13.565138,-75.57426103,13.42817171,9.840940122,-71.9483154,7.326687985,11.12784363
-73.499016,7.326688,14.216331,-75.97182038,13.47842751,10.41033324,-72.2499567,7.32668799,11.71904173
-73.725105,7.326688,14.854436,-76.33071859,13.55311903,11.01835628,-72.52308328,7.326687994,12.38765811
-73.930084,7.326688,15.499995,-76.6537779,13.6490393,11.66380855,-72.76885265,7.326687996,12.9479826
-74.134926,7.326688,16.145605,-76.95346125,13.75352041,12.33106707,-73.09158236,7.326687998,13.65641305
-74.338936,7.326688,16.838617,-77.2261698,13.87207966,13.02683893,-73.35549322,7.326687998,14.2840572
-74.425903,7.326688,17.418438,-77.48087604,13.99039515,13.73170166,-73.53514431,7.326687999,14.80170461
-74.493118,7.326688,18.13777,-77.69616235,14.12841038,14.47150051,-73.72587798,7.326687999,15.42687384
-74.59848,7.326688,18.767651,-77.92678627,14.23487923,15.19003572,-73.90832451,7.326688,15.98315119
-74.712723,7.326688,18.992838,-78.22621997,14.25758926,15.81653237,-74.13908806,7.326688,16.66741544
